Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Gene stable ID
16	15356606	15361640	VIT_16s0100g00060
15	18650570	18653922	VIT_15s0046g01820
4	7945764	7947033	VIT_04s0069g00130
7_random	1103970	1108695	VIT_07s0151g00880
Un	29984057	29988588	VIT_00s0475g00050
11	2407890	2419883	VIT_11s0016g03000
16	10725369	10726918	VIT_16s0022g00070
5	17536527	17540851	VIT_05s0029g01420
11	12207450	12208406	VIT_11s0078g00150
4	3609250	3613205	VIT_04s0008g04240
16_random	92579	96828	VIT_16s0039g00180
4	20165612	20169688	VIT_04s0023g03630
8	12990133	12995157	VIT_08s0040g01900
17	1153569	1164212	VIT_17s0000g01600
8	18825174	18828689	VIT_08s0007g04880
13	5301912	5306166	VIT_13s0019g04030
5	258220	261870	VIT_05s0077g00450
15	12288192	12296600	VIT_15s0021g01660
4	21596240	21597136	VIT_04s0044g00650
3	2451820	2452736	VIT_03s0038g03360
8	18510767	18577627	VIT_08s0007g04630
12	13309181	13340263	VIT_12s0055g00430
14	29607798	29608028	VIT_14s0108g00960
1	10863540	10880215	VIT_01s0026g01700
Un	25318648	25324480	VIT_00s0357g00070
2	2643548	2644447	VIT_02s0025g03110
11	14825776	14832307	VIT_11s0065g00830
7	11645431	11646226	VIT_07s0005g06460
15	14440167	14447252	VIT_15s0048g00310
5	9189173	9190881	VIT_05s0049g01750
18	23440764	23448944	VIT_18s0117g00230
Un	19172364	19173257	VIT_00s0265g00040
14	24001531	24018716	VIT_14s0068g00310
11	17365954	17369951	VIT_11s0052g00200
5	1128866	1129516	VIT_05s0077g01390
17	2449848	2450462	VIT_17s0000g02640
1	6249032	6252177	VIT_01s0011g06440
5	2194418	2194769	VIT_05s0020g00370
5	12190066	12218005	VIT_05s0051g00910
12	9975478	9979189	VIT_12s0057g01210
19	10387374	10388450	VIT_19s0015g01710
5	5754625	5770505	VIT_05s0020g04100
14	13445734	13447648	VIT_14s0006g00230
18	8035646	8035984	VIT_18s0001g09640
15	16216677	16220655	VIT_15s0048g02110
Un	12461436	12462101	VIT_00s0207g00130
4	6678208	6682095	VIT_04s0008g06690
17	10957439	10957598	VIT_17s0000g09360
1	22527469	22544547	VIT_01s0150g00100
13	14139498	14140796	VIT_13s0073g00410
Un	10872611	10877453	VIT_00s0198g00050
7	19425901	19431562	VIT_07s0031g02840
14	26743582	26745706	VIT_14s0066g00170
13	23510123	23511843	VIT_13s0064g01600
Un	30976477	30977781	VIT_00s0513g00010
3	2755238	2755923	VIT_03s0038g03780
18_random	466144	466455	VIT_18s0122g00580
8	15615746	15620729	VIT_08s0007g01510
4	7943541	7943965	VIT_04s0069g00110
13	1204336	1205097	VIT_13s0067g02130
6	12309529	12319374	VIT_06s0009g01020
5	16868339	16883334	VIT_05s0029g01070
Un	21235000	21237417	VIT_00s0283g00070
Un	7653274	7655004	VIT_00s0181g00030
18	7062641	7067108	VIT_18s0001g08630
1	2806814	2809091	VIT_01s0011g03140
7	15483931	15494241	VIT_07s0129g00220
13_random	2429635	2430924	VIT_13s0019g00340
9	11842541	11848247	VIT_09s0096g00440
1	19487491	19493493	VIT_01s0010g02390
1	9565434	9567515	VIT_01s0026g00760
2	2793848	2803836	VIT_02s0025g03270
12	2546342	2547021	VIT_12s0028g01890
11	17233397	17237329	VIT_11s0052g00160
5	455224	464808	VIT_05s0077g00650
8	20720832	20724328	VIT_08s0007g07100
14	5354205	5368885	VIT_14s0030g01020
18	12432955	12439459	VIT_18s0001g14440
3	4368190	4388439	VIT_03s0063g00940
3	7099015	7099742	VIT_03s0091g00670
14	21825869	21835300	VIT_14s0006g03240
14	2945472	2949352	VIT_14s0128g00280
15	15941212	15945130	VIT_15s0048g01740
15	2516929	2517045	VIT_15s0024g01330
14	11059343	11066571	VIT_14s0036g00840
18	9477821	9478670	VIT_18s0001g11160
10	9883123	9883923	VIT_10s0003g05340
13	3472012	3472116	VIT_13s0019g02190
16	16335657	16337482	VIT_16s0100g00830
8	15672182	15674216	VIT_08s0007g01570
18_random	998734	999705	VIT_18s0122g01450
7	4846492	4849292	VIT_07s0005g02490
14	15467894	15468691	VIT_14s0006g00760
12	13065135	13067116	VIT_12s0055g00340
18	22160463	22162651	VIT_18s0075g00620
13	7002683	7004162	VIT_13s0019g05170
13	19973316	19973552	VIT_13s0084g00780
6	17809099	17809535	VIT_06s0061g00390
11	3174051	3179257	VIT_11s0016g03890
11	1658193	1660859	VIT_11s0016g02070
7	11535058	11547102	VIT_07s0005g06380
14	7617829	7629338	VIT_14s0081g00070
11	37814	38430	VIT_11s0016g00070
Un	15381566	15400137	VIT_00s0229g00020
4	6880730	6884930	VIT_04s0008g06850
1	10189900	10197710	VIT_01s0026g01190
4	1804303	1816845	VIT_04s0008g02200
12	19749932	19751723	VIT_12s0035g00410
8	15128874	15129132	VIT_08s0007g01010
18	5605491	5606704	VIT_18s0001g07320
Un	42286779	42287203	VIT_00s2536g00010
2	13406894	13407180	VIT_02s0033g00050
18	9061369	9062079	VIT_18s0001g10760
4	4564524	4576677	VIT_04s0008g05090
11	2093907	2100126	VIT_11s0016g02620
17	3396854	3402877	VIT_17s0000g03510
Un	17206989	17208287	VIT_00s0246g00210
4	17331878	17344302	VIT_04s0023g00920
18	7553672	7557547	VIT_18s0001g09070
14	9683531	9684241	VIT_14s0036g00210
4	5018072	5022700	VIT_04s0008g05550
7	3461083	3465844	VIT_07s0005g00850
1	865318	867702	VIT_01s0011g00990
9	2946729	2952046	VIT_09s0002g03200
8	19869237	19870549	VIT_08s0007g06030
9	7893266	7895587	VIT_09s0002g07690
16	11683752	11687161	VIT_16s0022g00540
Un	12110117	12118528	VIT_00s0204g00040
17	4031362	4061473	VIT_17s0000g04010
13	3792129	3800126	VIT_13s0019g02550
5	23528787	23530967	VIT_05s0094g00200
15	14992324	14994935	VIT_15s0048g00840
19	19016365	19019448	VIT_19s0027g00330
13	7529737	7538850	VIT_13s0074g00160
16	273266	280142	VIT_16s0039g00560
11	3768892	3770348	VIT_11s0016g04460
1	4423801	4425284	VIT_01s0011g04810
Un	34510489	34511388	VIT_00s0707g00010
5	5339663	5347399	VIT_05s0020g03620
13	5269590	5281443	VIT_13s0019g04010
Un	16302912	16307046	VIT_00s0238g00130
3	15596924	15598147	VIT_03s0017g00700
5	24056789	24058475	VIT_05s0094g00730
18_random	2423747	2464543	VIT_18s0001g01990
6	8785323	8790997	VIT_06s0004g08010
15	4645942	4646310	VIT_15s0045g00100
18	25418483	25420003	VIT_18s0041g00920
5	1683068	1690166	VIT_05s0077g02140
5	5785402	5786086	VIT_05s0020g04140
7	2517645	2517993	VIT_07s0104g01540
Un	19916951	19917566	VIT_00s0270g00040
6	17725609	17729682	VIT_06s0061g00340
17	2707165	2720593	VIT_17s0000g02940
8	9337419	9340280	VIT_08s0058g00390
7	2497536	2508005	VIT_07s0104g01500
15	1106485	1112651	VIT_15s0024g00660
14	355079	361160	VIT_14s0060g00360
5	2067904	2068838	VIT_05s0020g00190
5	13387257	13389553	VIT_05s0136g00130
10	11395128	11395271	VIT_10s0092g00160
1	20040046	20040463	VIT_01s0010g03020
6	6318873	6320828	VIT_06s0004g05460
2	9372696	9380547	VIT_02s0012g02420
8	3631253	3638448	VIT_08s0032g00460
17	11633097	11634949	VIT_17s0000g09770
15	19400686	19405392	VIT_15s0046g02650
18	7611546	7623220	VIT_18s0001g09150
8	13568175	13569453	VIT_08s0040g02530
18	4613633	4615316	VIT_18s0001g06090
Un	14865373	14868926	VIT_00s0226g00090
7	17047781	17052108	VIT_07s0031g00890
8	14007006	14009776	VIT_08s0040g03040
3	4405632	4406487	VIT_03s0063g00950
14	760007	764331	VIT_14s0060g01010
13	5613756	5614388	VIT_13s0019g04300
8	12682575	12684221	VIT_08s0040g01540
19	4970993	4973892	VIT_19s0014g04670
5	4738910	4739540	VIT_05s0020g02990
3	1549919	1551865	VIT_03s0038g02250
18	14296029	14329589	VIT_18s0166g00290
5	5552870	5561700	VIT_05s0020g03890
18	12634521	12635111	VIT_18s0001g14590
9	22738827	22751612	VIT_09s0054g01710
9	5216536	5223507	VIT_09s0002g05490
6	14585509	14585663	VIT_06s0009g02250
9	1392383	1397840	VIT_09s0002g01600
5	17560347	17561478	VIT_05s0029g01440
11	3514533	3516082	VIT_11s0016g04220
19	6246821	6252470	VIT_19s0090g00060
13_random	1922444	1923816	VIT_13s0067g03430
5	4800109	4802663	VIT_05s0020g03070
4	166624	170295	VIT_04s0008g00230
13_random	2000021	2001302	VIT_13s0067g03580
18	11940712	11949407	VIT_18s0001g13950
Un	24820521	24820956	VIT_00s0347g00040
7	228931	236292	VIT_07s0141g00390
Un	30439122	30442662	VIT_00s0487g00010
7	7145246	7148996	VIT_07s0005g04050
10	13089203	13095293	VIT_10s0042g00280
16	20136079	20136309	VIT_16s0148g00200
1	8694682	8695590	VIT_01s0026g00060
Un	22067145	22071070	VIT_00s0299g00060
10	8005309	8007078	VIT_10s0003g04550
7	11839706	11840402	VIT_07s0005g06520
4	20243140	20247742	VIT_04s0023g03700
2	2656233	2659710	VIT_02s0025g03130
19	5085991	5088939	VIT_19s0014g04790
8	18069161	18079210	VIT_08s0007g04100
4	18512510	18514368	VIT_04s0023g01930
12	3061019	3062123	VIT_12s0028g02290
1	8907448	8916688	VIT_01s0026g00250
12	2250005	2250345	VIT_12s0028g01540
18	6218991	6224956	VIT_18s0001g07790
5	17471046	17472850	VIT_05s0029g01390
14	9898960	9900020	VIT_14s0036g00380
18	20173049	20175009	VIT_18s0072g00820
2	4501278	4502162	VIT_02s0025g05020
2	2016500	2019075	VIT_02s0025g02260
17	8628981	8646157	VIT_17s0000g07670
9	18394181	18410703	VIT_09s0018g01390
13	2057440	2059353	VIT_13s0067g03670
6	4772380	4778353	VIT_06s0004g03800
16	17837030	17840061	VIT_16s0050g00930
18	27318985	27324143	VIT_18s0041g02180
19	7171504	7174270	VIT_19s0090g01090
1	390763	395192	VIT_01s0011g00370
17	14425937	14430726	VIT_17s0053g00040
Un	40693706	40694466	VIT_00s1918g00010
5	22132244	22141684	VIT_05s0102g00260
1	9804365	9804769	VIT_01s0026g00910
7	16015552	16017420	VIT_07s0129g00800
Un	17750019	17752319	VIT_00s0253g00060
12	22404090	22405930	VIT_12s0035g02080
18	325076	327399	VIT_18s0122g00330
10	10471996	10480736	VIT_10s0003g05630
5	940428	957384	VIT_05s0077g01200
7	15683165	15689912	VIT_07s0129g00440
15	5794583	5795562	VIT_15s0045g00730
5	2399536	2403126	VIT_05s0020g00480
13	3948324	3965680	VIT_13s0019g02720
19	23186135	23190845	VIT_19s0085g00730
10	17708137	17717843	VIT_10s0071g01030
14	28466334	28468513	VIT_14s0066g02250
19	980796	997624	VIT_19s0014g00950
Un	10672930	10675185	VIT_00s0194g00200
10	6759746	6760132	VIT_10s0003g03990
7	3619371	3620051	VIT_07s0005g01050
13	12071432	12089041	VIT_13s0101g00360
1	21055713	21062986	VIT_01s0010g03700
1	6869579	6871253	VIT_01s0137g00330
6	20050143	20052967	VIT_06s0080g00250
14	21063839	21068336	VIT_14s0006g02880
1	19576511	19577118	VIT_01s0010g02510
7	17157012	17159503	VIT_07s0031g00990
5	5357586	5358363	VIT_05s0020g03650
7	16714870	16717234	VIT_07s0031g00500
10	8239551	8272840	VIT_10s0003g04630
10	1507976	1557050	VIT_10s0003g00250
16	21954591	21960193	VIT_16s0098g01870
11	16756768	16757141	VIT_11s0103g00630
4	18606829	18616254	VIT_04s0023g02120
3	17479571	17480301	VIT_03s0017g01480
14	27371461	27389701	VIT_14s0066g00920
18	19321759	19323503	VIT_18s0072g00230
8	21285345	21289232	VIT_08s0007g07860
14	28871662	28879070	VIT_14s0108g00040
15	4712047	4714860	VIT_15s0045g00160
16	20913207	20914643	VIT_16s0098g00510
7	3928360	3955358	VIT_07s0005g01420
13	23295905	23301839	VIT_13s0064g01440
2	10849889	10851763	VIT_02s0012g02830
2	4845959	4851301	VIT_02s0154g00040
8	20944163	20949939	VIT_08s0007g07400
9	9099745	9103465	VIT_09s0002g08300
14	23384136	23385107	VIT_14s0083g01060
Un	18310813	18312060	VIT_00s0258g00090
14	27976746	27978612	VIT_14s0066g01620
17	4650027	4651019	VIT_17s0000g04420
4	20382429	20383000	VIT_04s0023g03890
Un	8046417	8047153	VIT_00s0183g00040
12	13437095	13438590	VIT_12s0055g00480
5	2126347	2128050	VIT_05s0020g00260
Un	30952336	30961739	VIT_00s0510g00040
Un	7291896	7292033	VIT_00s0179g00050
4	1262053	1262217	VIT_04s0008g01630
18	4306846	4309947	VIT_18s0001g05420
7	2887397	2888721	VIT_07s0005g00080
2	3893849	3895803	VIT_02s0025g04420
12	5548893	5549690	VIT_12s0059g00730
16	14839808	14840800	VIT_16s0022g02300
1	19219004	19219813	VIT_01s0010g02250
4	20251981	20252945	VIT_04s0023g03710
12	3342166	3345825	VIT_12s0028g02570
18	5833823	5844605	VIT_18s0001g07590
Un	33407441	33413400	VIT_00s0641g00010
2	7878002	7879125	VIT_02s0012g01610
10	119119	120531	VIT_10s0116g00240
Un	34178887	34181177	VIT_00s0684g00040
8	4105849	4114105	VIT_08s0032g00680
15	2463206	2463985	VIT_15s0024g01280
Un	21787637	21788881	VIT_00s0291g00030
18_random	2415720	2420978	VIT_18s0001g01970
18	25838008	25839742	VIT_18s0041g01220
12	9577973	9579130	VIT_12s0057g00870
Un	9279222	9280457	VIT_00s0187g00360
3	16414946	16420516	VIT_03s0017g01010
18_random	4073935	4077232	VIT_18s0001g04950
15	17984838	17987703	VIT_15s0046g00920
14	26301169	26309205	VIT_14s0171g00520
13	11422843	11423465	VIT_13s0101g00020
14	12064993	12065680	VIT_14s0036g01210
7	16891901	16901338	VIT_07s0031g00730
Un	13962791	13969377	VIT_00s0218g00050
12	8939697	8942529	VIT_12s0057g00300
16	8182198	8182456	VIT_16s0013g01460
Un	33789878	33790897	VIT_00s0663g00030
7	16305696	16312925	VIT_07s0031g00060
4	20960379	20962863	VIT_04s0044g00270
19	19247402	19265051	VIT_19s0027g00440
18	5855903	5869003	VIT_18s0001g07620
2	6595171	6595804	VIT_02s0012g00690
5	22503001	22503567	VIT_05s0102g00570
5	9637019	9715468	VIT_05s0049g02090
Un	32317826	32322761	VIT_00s0583g00010
19	2649604	2653203	VIT_19s0014g02580
3	606114	613813	VIT_03s0038g00700
11	19269701	19269885	VIT_11s0052g01520
18_random	4618014	4618565	VIT_18s0001g06100
18	27675241	27678019	VIT_18s0089g00020
Un	19815043	19815702	VIT_00s0269g00120
18_random	3420460	3434033	VIT_18s0001g03660
4	3691354	3695275	VIT_04s0008g04310
7	17739448	17745370	VIT_07s0031g01640
15	16901877	16906784	VIT_15s0048g02770
8	7303146	7305757	VIT_08s0105g00250
15	17015601	17018310	VIT_15s0048g02910
10	6186811	6189534	VIT_10s0003g03670
12	8918659	8919113	VIT_12s0057g00280
6	14849363	14850194	VIT_06s0009g02420
4	23609645	23610193	VIT_04s0044g01760
10	2112286	2113434	VIT_10s0003g00870
2	666668	669028	VIT_02s0025g00570
15	7307707	7307907	VIT_15s0045g01380
13	5296887	5298182	VIT_13s0019g04020
13	3349030	3351310	VIT_13s0019g02050
8	20749964	20751183	VIT_08s0007g07120
3	4270839	4271231	VIT_03s0063g00760
16	18793359	18798739	VIT_16s0050g01860
8	20633800	20634435	VIT_08s0007g06990
10	6644896	6647171	VIT_10s0003g03880
14	941773	942959	VIT_14s0060g01190
18	4156671	4159130	VIT_18s0001g05100
3	4096054	4121959	VIT_03s0063g00600
18	10670045	10675852	VIT_18s0001g12480
9	2161217	2163097	VIT_09s0002g02370
15	14748556	14759052	VIT_15s0048g00600
16	2513506	2515019	VIT_16s0039g02370
Un	14089216	14094863	VIT_00s0218g00180
14	2273667	2274231	VIT_14s0060g02540
7	18918272	18923325	VIT_07s0031g02600
8	19839130	19841739	VIT_08s0007g05950
1	3142869	3144296	VIT_01s0011g03470
2	1579135	1583057	VIT_02s0025g01640
Un	7323045	7324362	VIT_00s0179g00070
7	10376424	10377236	VIT_07s0005g05930
7	3883914	3893367	VIT_07s0005g01370
16	19993749	19999374	VIT_16s0148g00050
1	12361245	12366097	VIT_01s0026g02640
10	11056628	11069593	VIT_10s0092g00040
19	7760183	7767013	VIT_19s0090g01720
3	11454768	11455540	VIT_03s0132g00110
1	3652521	3653553	VIT_01s0011g03990
8	687897	689024	VIT_08s0056g00450
5	24920186	24924889	VIT_05s0094g01630
13	670695	673012	VIT_13s0067g01200
13	23664299	23665341	VIT_13s0064g01780
19	22021997	22024388	VIT_19s0027g01740
19	22522289	22529999	VIT_19s0085g00200
8	12814051	12814697	VIT_08s0040g01690
19	22530597	22536242	VIT_19s0085g00210
9	3924131	3925130	VIT_09s0002g04280
8	16616945	16618303	VIT_08s0007g02500
Un	24883583	24884749	VIT_00s0347g00110
5	7189687	7189941	VIT_05s0049g00130
9	16727011	16727152	VIT_09s0018g00510
10	12066291	12066807	VIT_10s0092g00500
1	3586860	3587731	VIT_01s0011g03930
4	19011709	19023324	VIT_04s0023g02460
18	18734272	18735502	VIT_18s0157g00030
1	12090780	12106366	VIT_01s0026g02490
3	1707800	1708798	VIT_03s0038g02450
16	21159330	21160238	VIT_16s0098g00840
2	6161341	6173803	VIT_02s0012g00380
10	3883840	3911909	VIT_10s0003g02160
8	16816935	16820538	VIT_08s0007g02740
5	18213006	18216634	VIT_05s0062g00110
19	15663614	15663916	VIT_19s0140g00180
12	22397942	22403348	VIT_12s0035g02070
2	14239792	14240808	VIT_02s0033g00410
18	12668387	12671744	VIT_18s0001g14610
7	273455	276429	VIT_07s0141g00450
17	16584450	16589369	VIT_17s0053g00920
11	16944908	16945654	VIT_11s0052g00050
3	16194423	16196702	VIT_03s0017g00930
16	17676598	17678918	VIT_16s0050g00740
19	7244521	7247962	VIT_19s0090g01200
4	20475612	20476579	VIT_04s0210g00100
13	9338658	9342548	VIT_13s0106g00030
15	11616741	11623502	VIT_15s0021g01350
Un	23190305	23191587	VIT_00s0322g00010
18	1193267	1200055	VIT_18s0001g00170
3	5049211	5052745	VIT_03s0063g01720
10	503181	507357	VIT_10s0116g01000
18	17728344	17729060	VIT_18s0086g00410
7	18280638	18285216	VIT_07s0031g02120
8	1728128	1728934	VIT_08s0056g01130
4	21152724	21154968	VIT_04s0044g00410
19	9175824	9178286	VIT_19s0015g01100
6	6143327	6144982	VIT_06s0004g05240
1	22724696	22728701	VIT_01s0150g00320
1	10114881	10118052	VIT_01s0026g01110
1	2495082	2505332	VIT_01s0011g02810
6	6031840	6048250	VIT_06s0004g05100
11	19011166	19012250	VIT_11s0052g01320
9	4889366	4892529	VIT_09s0002g05220
5	1239417	1240018	VIT_05s0077g01540
14	331187	335624	VIT_14s0060g00340
6	95994	97288	VIT_06s0004g00020
13	2291549	2294016	VIT_13s0019g00090
15	20153095	20157975	VIT_15s0046g03650
14	21647706	21653672	VIT_14s0006g03140
17	10309360	10310984	VIT_17s0000g08860
7	20424215	20428027	VIT_07s0130g00150
14	22166823	22172992	VIT_14s0083g00160
10	1185664	1187903	VIT_10s0523g00020
11	19412343	19439528	VIT_11s0052g01660
16	5441005	5442027	VIT_16s0013g00380
1	8170622	8175373	VIT_01s0127g00800
13	5579975	5581116	VIT_13s0019g04260
Un	17572591	17573769	VIT_00s0252g00020
4	681345	682448	VIT_04s0008g00780
14	22556235	22557761	VIT_14s0083g00470
11	1417490	1424368	VIT_11s0016g01770
Un	35942541	35946642	VIT_00s0838g00010
Un	26044571	26050011	VIT_00s0370g00010
7	2779638	2782567	VIT_07s0104g01780
14	7645593	7647273	VIT_14s0081g00110
11	1460164	1461907	VIT_11s0016g01810
2	3857081	3868306	VIT_02s0025g04390
17	12379967	12388611	VIT_17s0000g10190
Un	25350265	25351719	VIT_00s0357g00120
19	8102835	8103140	VIT_19s0015g00120
16	11364569	11365221	VIT_16s0022g00390
12	3728013	3728960	VIT_12s0028g02990
Un	18414542	18417496	VIT_00s0259g00080
4	18715839	18719071	VIT_04s0023g02220
5	8874254	8881936	VIT_05s0049g01520
2	1706216	1710474	VIT_02s0025g01840
18	1101792	1110665	VIT_18s0001g00060
1	7928117	7929398	VIT_01s0127g00550
1	5948445	5953082	VIT_01s0011g06150
12	14161171	14175995	VIT_12s0055g00830
14	1892518	1897703	VIT_14s0060g02320
8	15127979	15128873	VIT_08s0007g01000
7	4770464	4773528	VIT_07s0005g02410
13	768216	769082	VIT_13s0067g01360
4	8906560	8911960	VIT_04s0069g00800
15	16729965	16734102	VIT_15s0048g02600
7	1675292	1678507	VIT_07s0104g00420
1	19601704	19607520	VIT_01s0010g02540
9	14118408	14118966	VIT_09s0070g00680
17	6634605	6638455	VIT_17s0000g06060
5	771998	782552	VIT_05s0077g01000
12	20814828	20831239	VIT_12s0035g01060
16	9931694	9932962	VIT_16s0013g02070
3	17998484	17999808	VIT_03s0017g01820
12	3099890	3102328	VIT_12s0028g02350
6	3879617	3888296	VIT_06s0004g03130
14	3199240	3200242	VIT_14s0128g00650
4	19219490	19220055	VIT_04s0023g02670
12	10288750	10291527	VIT_12s0057g01530
6	15714613	15715979	VIT_06s0009g02830
1	1422475	1425215	VIT_01s0011g01610
4	5048983	5059774	VIT_04s0008g05570
14	7072867	7075705	VIT_14s0030g02030
18	27641256	27643249	VIT_18s0041g02470
1	8209588	8211616	VIT_01s0127g00850
18	13073854	13087034	VIT_18s0001g15050
Un	24858586	24867753	VIT_00s0347g00080
4	1889354	1891807	VIT_04s0008g02290
15	3085327	3086351	VIT_15s0024g01540
16	16430833	16431392	VIT_16s0100g00950
13	8644831	8646180	VIT_13s0074g00610
Un	21843117	21846531	VIT_00s0291g00070
9	2778212	2782247	VIT_09s0002g03030
11	6284003	6300793	VIT_11s0118g00500
8	46698	104830	VIT_08s0056g00040
4	2974889	2984448	VIT_04s0008g03620
11	4317123	4320498	VIT_11s0016g05010
16	3124114	3127269	VIT_16s0039g02750
4	2104899	2112698	VIT_04s0008g02560
8	17882576	17901834	VIT_08s0007g03910
4	23597424	23600039	VIT_04s0044g01740
16	15214072	15221974	VIT_16s0022g02490
13	18743261	18747760	VIT_13s0084g00120
17	546502	548565	VIT_17s0000g00820
19	10189181	10190518	VIT_19s0015g01600
6	7787958	7788712	VIT_06s0004g07040
5	1655495	1663941	VIT_05s0077g02120
14	16488208	16526582	VIT_14s0006g01240
14	29069039	29072101	VIT_14s0108g00290
7	15016666	15018416	VIT_07s0191g00220
9	3356763	3359186	VIT_09s0002g03650
10	11937103	11941136	VIT_10s0092g00390
18	9539944	9541424	VIT_18s0001g11230
1	6433473	6435948	VIT_01s0011g06600
7	7895361	7896164	VIT_07s0005g04660
5	13704075	13705808	VIT_05s0136g00330
7	7456861	7465688	VIT_07s0005g04370
2	1865312	1872618	VIT_02s0025g02090
1	15794446	15805337	VIT_01s0010g00680
9	1383432	1390944	VIT_09s0002g01590
18	5244635	5245588	VIT_18s0001g07010
Un	9195281	9199203	VIT_00s0187g00280
17	11019690	11022098	VIT_17s0000g09420
11	1841979	1844841	VIT_11s0016g02250
16	17582981	17587093	VIT_16s0050g00620
16_random	226257	227237	VIT_16s0039g00470
18	5029717	5032277	VIT_18s0001g06690
17_random	360669	360989	VIT_17s0000g00540
11	804935	806234	VIT_11s0016g00930
13_random	1794833	1796899	VIT_13s0067g03240
1	16525845	16531869	VIT_01s0010g00970
1	3210273	3211389	VIT_01s0011g03540
6	5925541	5928852	VIT_06s0004g04960
2	7059966	7062413	VIT_02s0012g01090
12	1843979	1851603	VIT_12s0028g01220
11	2867801	2873745	VIT_11s0016g03520
5	13459435	13462007	VIT_05s0136g00150
9	21457322	21457844	VIT_09s0054g00660
17	2704206	2704981	VIT_17s0000g02920
16	12359272	12360122	VIT_16s0022g00860
1	3531010	3533090	VIT_01s0011g03870
6	12884023	12887018	VIT_06s0009g01220
16	21814484	21818399	VIT_16s0098g01720
12	3411003	3413378	VIT_12s0028g02630
17	1475025	1475958	VIT_17s0000g01890
Un	31862407	31863041	VIT_00s0560g00020
5	12014586	12073403	VIT_05s0051g00870
6	17264924	17270695	VIT_06s0061g00060
12	17322013	17324339	VIT_12s0034g01320
Un	27272748	27275894	VIT_00s0394g00030
1	12409165	12410120	VIT_01s0026g02680
14	6301745	6362155	VIT_14s0030g01580
13	23484187	23504583	VIT_13s0064g01580
7	2440897	2445249	VIT_07s0104g01440
5	11954471	11969217	VIT_05s0051g00850
18	11893711	11897887	VIT_18s0001g13890
Un	42556978	42557319	VIT_00s2634g00010
4	4797333	4799877	VIT_04s0008g05320
12	18997990	19000920	VIT_12s0034g02530
18_random	3959964	3960984	VIT_18s0001g04710
18_random	4501821	4505048	VIT_18s0001g05810
10	2974587	2975548	VIT_10s0003g01580
7	15678055	15682337	VIT_07s0129g00430
14	26622115	26625445	VIT_14s0066g00070
16	16276570	16278316	VIT_16s0100g00780
16	16185826	16189735	VIT_16s0100g00710
15	20165465	20179211	VIT_15s0046g03670
8	5502500	5509517	VIT_08s0032g01110
14	5074158	5074570	VIT_14s0030g00820
Un	21850347	21863062	VIT_00s0291g00090
9	11826647	11829340	VIT_09s0096g00420
2	3276593	3293176	VIT_02s0025g03790
1	116646	118695	VIT_01s0011g00090
Un	35811833	35812183	VIT_00s0827g00010
18	3861987	3867762	VIT_18s0001g04470
1	5367518	5369117	VIT_01s0011g05650
18	27762784	27764096	VIT_18s0089g00070
5	2201436	2205526	VIT_05s0020g00390
17	2564523	2565658	VIT_17s0000g02790
Un	2379078	2380472	VIT_00s0131g00140
4	2765920	2771847	VIT_04s0008g03350
14	26240274	26242688	VIT_14s0171g00440
14	3116018	3117014	VIT_14s0128g00500
11	4374399	4380443	VIT_11s0016g05090
Un	11336876	11344116	VIT_00s0201g00010
17	5761030	5764757	VIT_17s0000g05270
7	2128697	2136775	VIT_07s0104g01050
13	2981271	2983171	VIT_13s0019g01380
2	4685425	4693245	VIT_02s0241g00040
11	602519	606673	VIT_11s0016g00610
8	20388585	20393248	VIT_08s0007g06720
2	433942	435565	VIT_02s0025g00320
13	2740552	2741055	VIT_13s0019g00990
12	9770897	9776203	VIT_12s0057g01100
2	6334159	6334784	VIT_02s0012g00490
Un	30866562	30869769	VIT_00s0507g00010
2	874441	881632	VIT_02s0025g00910
4	22755236	22766461	VIT_04s0044g01260
5	86868	89886	VIT_05s0077g00170
14	28565192	28566430	VIT_14s0066g02350
1	21434919	21451878	VIT_01s0010g03920
9	47970	50026	VIT_09s0002g00050
6	318150	325122	VIT_06s0004g00190
18	13446395	13458670	VIT_18s0001g15320
7_random	1026629	1032603	VIT_07s0151g00650
15	10033151	10039619	VIT_15s0021g00470
19	21281602	21282236	VIT_19s0027g01310
1	1932534	1958536	VIT_01s0011g02220
Un	24845105	24858019	VIT_00s0347g00070
Un	15948754	15949053	VIT_00s0231g00090
15	13968035	13976998	VIT_15s0048g00030
8	18101750	18121825	VIT_08s0007g04130
16	20552239	20555845	VIT_16s0098g00110
1	5314068	5314694	VIT_01s0011g05590
2	6208485	6208852	VIT_02s0012g00430
7	4204103	4218742	VIT_07s0005g01730
4	5817277	5849460	VIT_04s0008g06080
12	3657308	3658646	VIT_12s0028g02870
15	20029924	20030765	VIT_15s0046g03420
3	2088700	2090248	VIT_03s0038g02960
14	18900927	18905253	VIT_14s0006g02010
14	27759460	27761635	VIT_14s0066g01300
12	6803521	6806512	VIT_12s0059g01940
10	3253532	3259280	VIT_10s0003g01800
18	14207946	14210222	VIT_18s0166g00230
3	9776628	9777158	VIT_03s0097g00090
16	2379216	2406701	VIT_16s0039g02260
5	5692536	5695276	VIT_05s0020g04010
14	12042385	12043074	VIT_14s0036g01200
16	21549179	21553420	VIT_16s0098g01300
8	17116465	17125281	VIT_08s0007g03090
10	1495219	1496277	VIT_10s0003g00220
